Season,Lg,Team (Asterisk Indicates Playoff Team),W,L,W/L%, Payroll ,
1985-86,NBA,Atlanta Hawks*,50,32,0.61," $3,671,250.00 ",
1985-86,NBA,Boston Celtics*,67,15,0.817," $6,560,000.00 ",
1985-86,NBA,Chicago Bulls*,30,52,0.366," $4,486,000.00 ",
1985-86,NBA,Cleveland Cavaliers,29,53,0.354," $3,920,666.00 ",
1985-86,NBA,Dallas Mavericks*,44,38,0.537," $4,052,346.00 ",
1985-86,NBA,Denver Nuggets*,47,35,0.573," $3,425,500.00 ",
1985-86,NBA,Detroit Pistons*,46,36,0.561," $4,603,666.00 ",
1985-86,NBA,Golden State Warriors,30,52,0.366," $4,365,833.00 ",
1985-86,NBA,Houston Rockets*,51,31,0.622," $4,259,000.00 ",
1985-86,NBA,Indiana Pacers,26,56,0.317," $3,758,200.00 ",
1985-86,NBA,Los Angeles Clippers,32,50,0.39," $4,745,000.00 ",
1985-86,NBA,Los Angeles Lakers*,62,20,0.756," $8,579,750.00 ",
1985-86,NBA,Milwaukee Bucks*,57,25,0.695," $3,661,332.00 ",
1985-86,NBA,New Jersey Nets*,39,43,0.476," $6,840,500.00 ",
1985-86,NBA,New York Knicks,23,59,0.28," $6,961,500.00 ",
1985-86,NBA,Philadelphia 76ers*,54,28,0.659," $6,825,500.00 ",
1985-86,NBA,Phoenix Suns,32,50,0.39," $4,189,500.00 ",
1985-86,NBA,Portland Trail Blazers*,40,42,0.488," $3,831,000.00 ",
1985-86,NBA,Sacramento Kings*,37,45,0.451," $4,052,000.00 ",
1985-86,NBA,San Antonio Spurs*,35,47,0.427," $4,052,846.00 ",
1985-86,NBA,Seattle SuperSonics,31,51,0.378," $5,683,333.00 ",
1985-86,NBA,Utah Jazz*,42,40,0.512," $2,914,500.00 ",
1985-86,NBA,Washington Bullets*,39,43,0.476," $4,381,383.00 ",
1986-87,NBA,Atlanta Hawks*,57,25,0.695,,
1986-87,NBA,Boston Celtics*,59,23,0.72,,
1986-87,NBA,Chicago Bulls*,40,42,0.488,,
1986-87,NBA,Cleveland Cavaliers,31,51,0.378,,
1986-87,NBA,Dallas Mavericks*,55,27,0.671,,
1986-87,NBA,Denver Nuggets*,37,45,0.451,,
1986-87,NBA,Detroit Pistons*,52,30,0.634,,
1986-87,NBA,Golden State Warriors*,42,40,0.512,,
1986-87,NBA,Houston Rockets*,42,40,0.512,,
1986-87,NBA,Indiana Pacers*,41,41,0.5,,
1986-87,NBA,Los Angeles Clippers,12,70,0.146,,
1986-87,NBA,Los Angeles Lakers*,65,17,0.793,,
